	Мария Грипе

	Қалай ғана оған бұл арадан қашып шығуға болар екен? Мүмкін көп ұзамай олар бұл арадан кететін шығар?

	Асығатын бірақ олар жоқ. Машинадан әр түрлі бір нәрселерді түсіріп жатты. Және бәрінен де қиыны — олар үйге кірді.

	Енді Эльвис қолға түсті. Құтылып кетуге ешбір үміт жоқ. Бандиттер жоғарғы қабатқа көтерілмей қоя ма?

	Эльвис кыбырлауға да дәрмені жетпей, тышқан құсап көзі жылтырап бұғып, тып-тыныш отыра берді. Әрі-беріден соң аз-аздап бойы бұған да үйрене бастады. Тәрізі, олар сол төменгі жақта айналсоқтайтын болғаны. Демек, онда шыдамды ширатып, күте тұруы керек. Бір жаман жері алданыш етіп отыратын іс жоқ. Мылқау адамдай боп, бір нүктеден көзіңді алмай отырғаның мынау. Ал оны күтіп тұрған шаруа дегенің асып-төгіліп жатыр.

	Келесі бөлменің еденінде бір ескі журнал жатты. Соған жетіп, қолына бір іліктірсе ғой! Қарап отырғанша әріптерді қосып оқуды үйреніп жаттыға берер еді. Сонда уақытың құрдан-құр осылай өлмес еді ғой...

	Байқап көрсе қайтеді...

	Рас, бөлме дегенің үлкен бір әлемдей далиып жатыр. Едені тура мұхиттың айдыны. Эльвис еденнің тақтайына аяғын басуға қорқады. Сықырлап, ойбайын салуы мүмкін. Егер жата қалып еңбектесе ше...

	Ал, сәт! Еден сықыр ете түсті. Бағына қарай, сірә, ешкімнің құлағына шалынбаған болуы керек. Сонда да ол сәл-пәл аял жасап алды. Содан соң етбеттей жата қалып еңбектей жөнелді. Онша ыңғайлы емес екен, бірақ ештеңе етпейді, шыдауға болады.

	Міне, журналға да қолы жетті. Журналда машиналар мен моторлар туралы жазылған екен. Іші толған — автомобильдердің суреттері. «Вольво» — папасьіның машинасы — бұның ішінде оның да суреті бар екен. «Вольво» — бір түрлі көңілді, оңай оқылатын сөз.

	Эльвис осылай отырып уақыттың қалай өтіп жатқанын да білмеді. Терезенің сыртында қараңғылық үйіріле бастағанда барып уақыттың өте кеш болып кеткенін білді. Бұл арада ол қанша уақыт отырды екен? Шамалап айту қиын.

	Үйдің іші қазір тып-тыныш. Ол тың тыңдады. Мүмкін бандиттер әлдеқашан кетіп қалған шығар. Бірақ ол неге ештеңе естімеді? Тым болмаса машинаның гүрілі естілер еді ғой. Ұйықтап қалды ма екен әлде ол? Әлде ол емес, бандиттер ұйықтап қалды ма екен?Астыңғы қабаттың тып-тыныш болып тұрғаны да сондықтан шығар?

	Енді қайтсе екен ол? Түні бойы осында қала бермейді ғой. Егер бандиттер астыңғы жақта ұйықтап жатқан болса, қастарынан қалай өтіп кетпек? Олар оянып кетпей ме?

	Машинаның тұрған-тұрмағанын білу үшін Эльвис абайлап басып, терезенің алдына барды.Міне, қырсық, дым көрінбейді. Терезенің сырты — тұтасқан ақ перде. Бүкіл үй алып бір бұлтқа оранып тұрғандай.

	Ал егер бұл түтін болса ше? Мүмкін үй өртеніп жатқан шығар. Бандиттер үйге өрт жіберген болар? Содан соң қашып кеткен. Бірақ егер үй өрттің ішінде қалса, түтіннің иісі шықпай ма? Эльвис терезеден басын шығарып, ауаны иіскеді. Жоқ, ешқандай да түтіннің иісі сезілмейді, тек ауаның дымқыл екені білінді. Демек, бұл онда тұман. Міне, қайда жұмбақ...

	Бұл арадан қайткенде де шығып кетуі керек. Әуелі бандиттердің бар-жоғын біліп алуы қажет ол үшін. Машина тұманда көрінбейді. Ол сәл-пәл аялдап, ойланып алды. Эльвистің бандиттердің қасынан байқаусыз өтіп кетуі үшін тұманның үйдің ішіне де еніп, түп-түгел бүркеп тұрғаны да жақсы болатын еді. Терезелердің көбісі әйнектері сынған, ашық-тесік; азғантай күте тұрса мүмкін тұман үйдің ішіне де толар. Эльвис отыра қалды да, қайтадан сарыла күтті. Және ұзақ күтті.

	Әрі-беріден соң ұйқы жеңе бастады да, ол біразырақ қалғып алды. Ал оянған кезде қараңғылық әбден қоюланып бара жатқан еді, әсіресе, үйдің ішінде. Терезенің ар жағы, сырттың сәл ғана жарықтау екені аңғарылады, тұман бірақ әлі бұрынғысынша қалың. Оның есесіне үйдің ішінде ешқандай да тұман жоқ. Енді бұдан артық күтуге болмайды. Не болса да басқа түскенін көріп бағады. Жолға шығатын кез туды.

	Эльвис абайлап, ептеп басып, есікке тақады да, әрі итеріп ашып жіберді. Барлығы құлаққа ұрғандай тып-тыныш. Бір аттап, екі аттап, ол басқышпен төмен қарай түсе бастады. Әрбір басқышта тоқтай қалып, демін ішіне тартып, тың тыңдайды. Жүрегі атша тулап соғады. Жайлап та соқпайтынын қарашы, тарсылынан ештеңе естімей тұрғаны.

	Басқыштың ортаңғы тұсына келгенде кіре берістегі бөлме көрінді. Эльвис қалт тұра қалды. Үйдің іші тұтасқан түнектей қараңғылық, қай жерде адам, қай жерде көлеңке тұрғанын ажыратып болмассың. Бірақ үй іші тып-тыныш. Дыбыс та, сыбдыр да жоқ. Ол бір аттады. Тағы бір адым қосты...

	Эльвис басқыштан түсіп, дыбыссыз ғана ортадан өтті де, есікке жақындады. Есікті ашты да, табалдырықтың үстінде не әрі, не бері жүрерін білмей, қалшиып қатты да қалды.

	Оның көз алдын көзге түртсе көргісіз қалың қара тұман көлегейлеп тұрды. Есік өздігінен жабылып қалды. Эльвис үйге қайтып кірерін де, кетерін де білмей дал боп тұра берді, не істерін білмеді. Кенет ол өзімен бірге қалта шамын алғанын есіне түсірді. Соны қалтасынан алды да, жағып жіберіп еді, жарығы бірақ тым әлсіз болды. Эльвис шамын сөндірді де, тұманның ішіне сүңгіп кетті.





10


	Ол бірнеше қадам жасады...Алдынан қап-қара діңгек тәріздес әлдене пайда бола кетті, ол әйтеуір қолын ілгері созып үлгерді, әйтпесе маңдайымен соғылуы да мүмкін еді. Жолдың қайда екенін ажыратып жата алмады — айнала қою түнек, тұтасқан мұнар мен тұман, жылт еткен жарық жоқ...

	Ол тың тыңдады. Төңірек жым-жырт. Жарық та, дыбыс та бұл араға жете алмастай, бәрін де тұман тұншықтырып, жұтып жіберген тәрізді. Эльвис осы түн-түнектің арасындағы жалғыз тірек — ағаштан мықтап ұстап айырылмады.

	Қою тұман оның ойларын да жұтып қойғандай, өзінің қанша уақыт осылайша ештеңені қаперлемей, ойсыз тұрғанын білген жоқ. Содан соң барып асығуы, жүруі қажет екенін ұғынды. Оның үйге қайтуы керек.

	Эльвис діңгекті жібере салып, бірдемеге соқтығып қалмас үшін қолдарын алға созған күйі ілгері жүрді. Бір адымынан бір адымы озып, қармалана қалтақтап, алға қарай баса берді. Аяқ асты — шөп.

	Ол қазір керекті, дұрыс бағытқа қарай келе жатыр ма екен? Мұны қайдан білер? Ал егер ол бір орнында шыр айналып жүрген болса ше?Ақырында аяғы шықырлаған қиыршық тасқа тиіп, өзін қатқыл дүниенің үстін нық басып тұрғанын сезінді. Енді ол үйден қақпаға дейін апаратын жолмен келе жатқанын білді. Тек бұдан ауытқымаса болды, ол бақтың ішінен шығып кетеді.

	Ол жүре берді, жүре берді. Бұл жолдың соншалықты ұзақ екендігін білмеуші еді. Шегі де, шеті де жоқ секілді. Бүгін бәрі де әдеттегідей емес, өзгешеленіп кеткен сияқты сезіледі.Қақпа қайда? Мүмкін байқамай өтіп те кетті ме екен одан? Олай болса асфальт жолға шығуы керек еді ғой. Ал оған әлі аяғы тиген жоқ. Сол қиыршық, тасты жолдың үсті келе жатқаны. Мүмкін жігіттер қақпаны топсасынан шығарып тастаған болар? Бақтан машинаны шығару үшін сөйткен болар?

	Жоқ. Міне, қақпаға да жетті. Ашық тұр екен. Эльвис шықты да, есігін жауып кетті. Жақсы болды. Бақтың ішінен де шығып кетті-ау, әйтеуір. Ең бастысы, енді ағаш көпірден өту; дәл coл мезетте оның үстінде шамы жарқырап, машина келе жатты. Ол тура осы жаққа, Эльвиске қарай келеді. Машина жанынан өте шықты да, әрірек барып тоқтай қалды.

	Бұл мүмкін қайтып оралған бандиттер болар? Эльвис анықтамаққа, тексермекке бола кідіріп жатпады. Ол көпірдің үстімен, қалқан біліктің бойымен қолын сырғыта тапыраңдай жүгіре жөнелді. Одан кейін тек ілгері жүре беруге тура келді. Көшені тауып алу қиын емес, ең бастысы тас жолға шығып кетіп, машинаның астына түсіп қалмас үшін үйлердің қабырғасына жанаса жүруі керек. Табан астынан жарқ ете қалып, дәл жанынан зулап, ағып өтіп жатқан автомобиль шамдарынан тұла бойды үрей билеп ала жөнеледі. Тротуар таусылып, көшенің келесі бетіне өту керек болғанда да үрейден қалтырайсың. Енді-енді түпсіз құрдымға құлап кетердейсің. Ауық-ауықта әлдекімдердің аяқ алыстарының дыбыстары мен әлдеқандай дауыстар естіліп қалып, көмескі бір сұлбалар жанынан озып, өте шығады. Сұмдық үрейлі.

	Кенет буалдыр тұманның арасынан әлдекімнің бейнесі қараң ете түсті де, белгісіз бір көздер Эльвистің бет-жүзін тінткілеп өтіп, ғайып болды. Өзі секілді бір бала... Бір-біріне олар бірақ тіл қатысып үлгермеді, әлгінің бет-бейнесі мұнар арасынан көрінді де, сол заматта жоқ болып кетті. Эльвис артына бұрылып қарап еді, әлгі баланы көре алмады. Ол да егер бұрылып қараған болса, Эльвисті бәрібір көре алмас еді. Олар сол күйі бір-бірімен дыбыстасып, сөйлесуге батылдары жетпей кете барды. Бұдан соң-ақ Эльвис көңілденіп сала берді. Ол жалғыз емес екен, мынандай тұманда өзінен де басқа қаңғуылдап жүргендер бар болып шықты.





Эльвис жарық жарқыраған терезелердің қасынан өтті. Мұнарлы түнек бұрынғыдай енді қорқынышты емес. Ілкіде көрінгендей жер-дүние түн-түнектің қойнауына сіңіп, еріп кетпепті, сол баяғы қалпында қалыпты. Өзгермеген, бүлінбеген. Эльвис болса үйіне жақындап қалды. Жолдың соңғы бір аралығын ол жылдамырақ жүріп өтті. Міне, ол үйінің алдына келді. Ішке кіруге асықпады, тың тыңдады. Өмірінде бірінші рет үйдің ішінде радионың самбырламай тұрғанына өкінді.

	Үйдің іші тып-тыныш. Әлдебір жерден терезенің сарт етіп жабылғаны естілді. Бұдан басқа бірақ ешқандай дыбыс шықпады. Кіре беріс есік әлі жабылмапты. Қосалқы есік те ашық тұр. Енді ішке кіру ғана қалды. Қалайша бәрі оп-оңай болып тұр... Ешқандай кедергі жоқ...

	Эльвистің қазір бір-ақ тілегі бар — бірден жата қалып ұйықтау.Ол есікті ашып қалды да, өзінің ұйықтауға бірден жата алмайтынын түсіне қойды. Бөлменің қақ ортасында, люстра жарығының астында мамасы мен папасы тұрды. Екеуі де бұған пері көргендей қарады. Көзқарастарында тек мұны кінәлау кейпі ғана бар.

	Радионың да, телевизордың да үндері өшіп тұрған. Осыншама өлі жым-жырттық оған кенет барлық сөз бен дыбыс атаулысынан да мың есе үрейлі көрініп кетті. Сонан соң іле Сессан үрді. Сол заматта сұрақтар жаңбырдай жауып, тергеу басталды да кетті.

	Эльвис жарықтан жасқанып, жыпылықтаған көздерін уқалай берді. Оның сұмдық ұйқысы келіп тұрды. Сұрақтар құлағында ғана күңгірлейді, ал санасы — тас қамал, ештемені ұғынбайды, қабылдамайды. Қаншама сөз босқа шығын болып жатыр... Эльвис болар-болмас есінеп қойды.

	Мамасы қасына келіп шөткімен мұның курткасын және шалбарын тазалай бастады. Үсті-басы түгелдей бір ақшыл затқа былғанған дейді ол.

	─ Бұл не?

	─ Бұл тұман ғой жұғып қалған,— деді ол.

	─ Сен немене, бізді мазақ етпекпісің?

	Папасының даусы ашулы, бұның қолынан жұлқып-жұлқып қойды. Мамасы болса оның үсті-басын тазалап әуре. Оның да жүзі ашулы. Екеуі екі жақтан Эльвиске ұрысады. Ол өзін жеңіп бара жатқан ұйқыдан бар күшін сала сергігісі, өзіне айтылып жатқан сөздерді түсінгісі келеді.

	Эльвиске басы дыңылдап, тұманның ішінде қалқып тұрғандай сезілді. Ол үстіндегі ақ таңдақтарды жұғып қалған тұман дегенде мамасы мен папасын мазақ қылуды қаперіне де алмаған. Бірақ сонымен қатар үстіне жұққан қара дақтар да бар еді, мамасы бұны Эльвиске көрсеткен кезде ол, таң қалатын ештемесі де жоқ, алдымен тұман ақшыл болды да, артынан қарайып кетті деді. Бұдан басқа ол ештемені түсіндіре алмады. Және олардың қарапайым нәрселерді неліктен ұғынбайтындықтарына таңданды.

	Ақырында әке-шешесі сөзден тосылды. Мінезі адам төзгісіз, қасарыспа бала деумен ғана тынды олар әдеттегідей. Жазасына тамақ бермей, ұйқыға жатқызып тастаулары керек еді. Дегенмен де мамасы ол үшін ас ішілетін столдың үстіне әкеп оны-мұны тамақ қойды. Бұл — менің мейірімді көңілшектігім, әйтпесе Эльвис бұған тіптен де лайықты емес деп түсіндірді ол.

	Эльвис бірақ аш та емес болатын, оны ұйқы қалжыратып бара жатты. Тұманның адамға мұншалықты әсер еткені не деген кереметтілігі екен. Ал тамақ сол күйі тұра берсін, Эльвистің оны аузына апарып, шайнауға да қазір дәрмені жоқ.

	Сол арада оған шешініп, кереуетіне барып жатуға рұқсат етті, мүмкін мамасы шешіндірді ме екен, ол ештеңені білмей, ұйықтап кетті.





11


	Келесі күні ол қайтадан көңілді қалпына түсті. Тұманнан оның басы да, көше бойлары да айығып қалған еді. Күн жадырап тұрды. Папасы да ерте оянды. Мамасы әлі төсегінен тұрмаған болатын, таңертеңгілік жеңіл-желпі асты папасы дайындады. Бүгінгі күн барлық жағынан да тиянақты басталды. Ac үйдің іші жайма шуақ, тыныш. Ешқандай сұрақ та, тергеу де жоқ. Таңертеңгілік мезгілде папасымен бірге оңаша қалу жақсы, артық әңгіме де айтылмайды, радио да самбырлап сөйлеп тұрмайды. Папасы аузын шайнаңдатып отырып газет оқиды. Егер футбол жайлы жазылған түкке тұрғысыз бірдемені көзі шалып қалса ғана әлдене деп күңк ете түсетіні бар. Бірақ бұған көңіл аударып, сөзге қосылуың міндетті емес, өзіңмен-өзің болып, ойыңды ойлап отыра бер. Жай күндері папасының қасында, ас үйде отыру Эльвиске керемет ұнайды, ол кетіп қалған бойда көңілсіздік орнайды. Әдетте, Эльвис, папасы бұнысын жақтырмаса да, оның соңын ала үйден шығып кетуге тырысады. Мамаң оянғанша сенің үйде отыра тұруың керек дейді ол. Сонан соң оған қашан далаға шығып, серуендеп немесе ойнап келуге болатынын мамасы айтады екен.

	Мамасы бүгін ол ешқандай ойын, серуен дегендерді, ойына да алмайды деп шешті. Күн ұзағына үйде отырады. Кешегісі үшін оны тіпті төсектен де тұрғызбауға болатын еді. Мамасының мейірбан, кең пейілділігінен бәрі. Ал көшеге қоя беруге ол енді қорқады. Эльвис бұл жазаға көнгісі келмей, қарсылық білдіруге тырысып еді, бірақ пайдасыз болды, мамасы бір айтқанынан қайтпады.

	Әрине үйде отырғанда оның өзіне қолбайлау екені рас, бірақ сөйткенмен де, күн ұзағына бұған бола абыржып, толқып жүргеннен бұл әйтеуір жақсы ғой дейді ол. Және оның үстіне бұл өзінің кеше қайда болғанын айтқысы келмейді екен. Өзінің неге соншама сатпақталып, киімдерінің барлығын жыртып және ластап келгенінің себебін адам құсап айтса жөн-ау.

	Мейлі, өз сазайын өзі тартсын. Оның жанына бұл титімдей де батпайды.

	─ Мен саған жақсылық қана тілеймін, бұны түсінгің келе ме сенің? — дейді мамасы.

	Әрине, ол бұны түсінеді. Ол өзінің қандай қиямет жағдайға тап болғанын айтып та берер еді, бірақ бұл мүмкін нәрсе емес. Және мамасы оны сөзбен қуырып ұрысқан сайын да оны айтудың мүмкіндігі тіптен азая түседі.

	— Кеше не істегеніңді айтқың келмейді екен, онда сен әйтеуір сұмдық бірдеме бүлдіргенсің,— деді мамасы көздерін бұған оқтай қадап.

	Ол өзінің ештеңе айтпай қойғанына әлі өкінеді. Ол мүмкін енді ешқашан да, еш уақытта да бұны көшеге шығармай қойса қайтеді? Эльвис оған не деп жауап берерін білмеді. Кеше кереметтей қорыққан-ды. Егер мамасына болған жайды енді айтып берсе, бүлдіріп алатыны анық, мамасы, өйткені — дызылдақ, шыдамсыз адам. Ең дұрысы, барлығын да ұмытып, еске түсірмеу. Ол ақырында өзін де, мамасын да тыныштандырмақшы болып:

	— Сен қобалжымай-ақ қой, мама! Телевизордан бұдан да сорақы нәрселерді көрсетеді ғой,— деді.

	Расында да телевизордан мамасы екеуі бұдан да асып түсетін нәрселерді көрген. Мамасының көңілін бірақ бұл сөздер тіптен де орнықтырмады. Не істерсің енді, екеуі екі басқа тілде сөйлейді, олардың түсінісуі қиын.

	Таңертең үсті-үстіне безілдеп телефонға дамыл болмады, мамасы телефондас құрбыларына кешегі оқиға жайында хабарлады. Бәрі де өзінің айтқанымен келісті деді мамасы кейіннен:

	— Эльвис егер солардың баласы болғанда, олар бұған көресін көрсетер еді. Бұл сөз өте үрейлі естілді. Бірақ, Эльвис су жүректердің санатына қосылмайтын бала.

	Мұндайды оның естіп тұрғаны бірінші емес, өзіне олар не көрсетпекші сонда деп сұрауға да зауқы соқпайды. Мамасы бұл сауалға еш уақытта да жауап бере алмас еді.

	Кей-кейде оның көңіліне аяныш пен мүсіркеу ұялайды. Мамасы бір айтқанын сан қайталайды. Тым болмаса бір рет жаңадан бірдеме тауып айтса өзіне жақсы болар еді. Не жайында болмасын — ауа райы ма, немесе ақша ма, әсіресе бұның тәрбиесіне қатысты жайларға келгенде мамасы бір айтқанын қайталай береді, қайталай береді. Әрдайым да алдын-ала оның не айтатынын біліп тұрасың. Шынымен-ақ бұнысын өзі байқамай ма екен? Сірә, байқамайтыны рас. Өйткені, нені айтса да, соны бірінші рет айтып, өзіне-өзі жаңалық ашып тұрғандай болады. Ғажап.

	Мамасының ваннада кір жуып жатқанын пайдаланып, Эльвис есіктен жылыстап шығып кетуге тырысып еді, ұсталып қалды. Мамасының бұнысы енді шектен тыс! Ол телефонға барды.

	— Қазір мен полицияға хабарлаймын! — деді де трубканы көтерді. Номерлерін теріп болып жауап алғасын мамасы:

	─ Бұл полиция ма екен? — деп сұрады.

	Телефон сымының басқа ұшынан әлдене деп дыбырлаған үн естіледі. Мамасы бірнеше қайтара «иә» деп қояды да:

	— Сізбен фрау Карлссон сөйлесіп тұр. Түсінесіз бе, менің бір тіл алмайтын балам бар. Тіпті адамға бой беретін түрі жоқ өзінің. Аты-жөні — Эльвис Карлссон. Иә, иә. Ах, солай ма ? Полиция да оны біледі ме?! Иә, сіз оның тілазар, тіл алмайтын бала екенін біледі екенсіз ғой, иә, иә, солай...

	Мамасы Эльвиске жабырқау түрмен қарайды да, трубкаға күрсініп қояды. Сосын сөзін ары қарай жалғастырады:

	— Демек, сіздердің полицияларыңыз Эльвисті біледі екен ғой. Дұрыс, түсінікті. Онда, бастық мырза, кеше не болғанын айтайын, тыңдаңызшы. Бала күн ұзағына жоқ болып кетті. Үйге кешке, қас қарая келді. Үсті-басында бүтін жер жоқ, жыртық және әбден сатпақталған. Қайда болғанын айтпайды. Сөзді аузынан суыртпақтап та шығара алмайсың. Яғни, әлдеқалай бір жаман іске ұрынғаны кімге де аян ғой. Бұл — бұл ма. Бүгін ол жасырынып, үйден қашып кете жаздады. Ал менің оны далаға жіберуге неге қорқатынымды түсіне беріңіз. Енді менің не істеуім керек бұнымен? Оның тағы да қашып кетуге әрекет жасайтыны анық. Айтыңызшы, мен полицияның көмегіне арқа сүйей аламын ба? Ах, солай ма? Тамаша! Иә, иә әрине, бұның бәрін де оған жеткіземін. Эльвис сияқты балаларды тәрбиелеу қандай қиын екенін білсеңіз ғой, бастық мырза! Құр сүлдеңді қалдырады...

	Мамасы жүз қайтара алғыс айтып, трубканы орнына қойды да, Эльвиске қарады.

	— Естідің ғой әне! — деді ол.— Полиция да сені біледі екен әлдеқашан. Полиция бастығы менің кім жайлы айтып тұрғанымды бірден-ақ біле қойды. Ол саған бетегеден биік, жусаннан аласа болуыңды тапсырды. Полиция бастығы ағай қазір осында келеді. Ол маған күні бойы біздің көшенің бойын бақылайтынын хабарлады. Есіктен басыңды шығарсаң болды, ұстайды да, полицияға алып кетеді. Міне, саған ескертіп қойғаным бұл. Қашуды ойыңа да алма.

	Эльвис ештеңе деп жауап бермеді. Ол бүкіл әңгімені әсерсіз тыңдады. Мамасының полицияға звондап тұрғаны бұл бірінші рет емес. Бұл қулықтың сырын ол әлдеқашан ашқан.

	Полиция бастығы дегені бұл шын мәніне келгенде телефондас құрбыларының бірі. Сондықтан да қорқатын түк те жоқ. Сірә, балалары бой бермей бара жатқанда бір-бірлеріне осылай звондауға олар өзара келісіп қойған болулары керек. Бұл — олардың осындай ойыны. Мамасының бірде полиция бастығының ролін ойнағаны бар.

	Бірде оған бір құрбысы звондаған болатын, мамасы сонда онымен өзін ашулы ағайға ұқсатып сөйлесті. Артынан ол Эльвиске телефондас құрбысының баласы бірдемені бүлдіріп қойғандықтан қорқыту үшін өзін ашулы полицейге ұқсатып сөйлескенін айтып күлгені бар. Ал енді қазір Эльвис бұнысына сенеді деп ойлайтынын қайтерсің!

	Әрине, Эльвис бірақ бұның әшейін қулық екенін сезіп-біліп тұрғанын байқатпайды. «Полицияға» звондаған кезде мамасының өзіне-өзі көңілі қатты толып тұрды. Папасы да сондай. Аяз Ата болады да, сол бойда тасадан өзі қайтадан шыға келіп: — Сендерге немене, Аяз Ата келген жоқ па? — деп сұрайды. Эльвис папасын ренжіткісі келмейді. Әрине, Эльвис бұның Аяз Ата емес, папасы екенін бірден-ақ даусынан біледі, бірақ ешкімге де айтпайды. Нағыз Аяз Ата екеніне ол сенеді деп ойлай берсін мейлі.

	Аяз Атаның, бірақ, жөні басқа. Бұл әке-шешесінің бұған деген өздерінің сүйіспеншіліктерін дәлелдейтін кезде жасайтын айласы, ойыны. Ал полиция мәселесі олардың бұны қорқыту үшін ойлап тапқандары. Ол атасына ғана барлық шынын айтып берді. Жалғыз атасы ғана Эльвистің Аяз Атаға да, полиция бастығына да сенбейтінін біледі.

	Атасының өмірінде де осындай жағдайлар болған. Атасының кішкентай кезінде оған мұржа тазалаушыны айтып қорқытады екен. Тіл алмайтын балаларды мұржа тазалаушылар алып кетеді деп қорқытатын болыпты. Сол уақытта, әсіресе деревняларда полицейлер аз да, оның есесіне үйдің мұржасын тазалаушылар көп екен.Атасы еш уақытта да мұржа тазалаушылардан қорықпапты, бірақ, ол да бәрін түсінетіндігін сездірмеуге тырысыпты. Ол мұның барлығын әшейін балалардың ойыны деп ойлапты. Үлкендердің кейде бала құсап кететіндігін де түсіну керек. Адамдарды сәл нәрсеге бола ренжіту жақсы емес деп ойлайды атасы да, сондықтан папасы да сол өзінің Аяз Атасымен алданып жүре берсін. Ал мамасы айта беретін әлгі полиция бастығының қажеті тіпті де шамалы сияқты, бірақ шешесін де өкпелеткені орынсыз, мейлі ол да өз ермегінен ажырамай-ақ қойсын. Ең бастысы, бұл бос мылжыңға Эльвистің өзі сенбесе болғаны. Өзіңді соншалықты үрейленген адамға ұқсатуың тіпті де міндетті емес. Қулықтарын әшкерелемегеніңнің өзі оларға жетіп жатыр дейді атасы.

	Эльвис те солай ойлайды. Рac әрбір нәрсенің өз шегі бар. Ойдан шығарылғанның бәріне бірдей ол жөн-жосықсыз иланғанси алмайды ғой.

	Ол мамасының полиция бастығы ағаймен әңгімесін түп-түгел аяғына шейін шыдамдылықпен тыңдады. Содан кейін оған қабағының астымен үнсіз ғана сүзіле қарады.

	— Қарай бер, кәне, қара! — деді мамасы. — Жоқ, тоқта, сен неге сонша маған қадалып тұрсың, ә?

	Бұдан соң ол оны ұйықтайтын бөлмеге кіргізіп жіберді де, есігін сыртынан кілттеп қойды.

	Эльвис бұған да көндіккен.Құйттай кезінде өзін осылайша қамап қойғанда кәдімгідей-ақ жабығатын, ал қазір қыңбайды да. Не нәрсеге де үйренесің, көндігесің ғой. Бұған ол оншалықты абыржымады.

	Мамасы тағы да әлдекіммен телефон арқылы сейлесіп жатты. Ол Эльвистің әбден қасарыспа болып кеткенін айтып шағынады. Сірә, ол әжесімен сөйлесіп жатқан болуы керек.

	— Тіпті ол енді полициядан да қорықпайтын болып алыпты, — деп күрсінеді мамасы. — Мұндай баладан түбінде не шығар?

	Мамасы одан әрі бұл түбінде өмірден соққы жей ме деп қорқатынын айтады. Мұны мамасының тек қорқыту үшін ғана айтатынын біле тұрса да, бұл сөзге ол кірпідей жиырылады. Ол шындығында бұны түбінде бір жамандыққа ұшырайды деп ойлайды. Соған бола күйінеді, қорқады. Мамасын Эльвис аяйды, бірақ, ештеңемен жұбата да алмайды. Өйткені, мамасы бұны күнәлары үшін құдайдың жіберген жазасы деп есептейді... және де оның пір тұтатын адамындағыдай мұның толқынды, қап-қара шашы да жоқ, ән де сала білмейді. Қысқасы ол бұған ештеңесімен де жұбаныш бола алмайды.

	Барлық пәле мамасы мен папасының қалаға көшіп келуінен,— дейді атасы. Олар өздерінің туған мекендерін тастап кетті. Қалада өмір сүру жеңіл, әрі әдемі деп ойлағандықтан болған нәрсе бұл. Олар қалада адамдармен жиі ұшырасамыз, тротуарлар бойымен жүріп, дүкендердің сәнді витриналарына қарап, сүйсінеміз деп ойлады. Бірақ олар қателесті. Мамасының деревняда тұрған кезінде қазіргіден көңілі әлдеқайда көтеріңкі болатын. Ол күн ұзағына үй мен бақтың арасында сабылып жүретін, ерігуге уақыты да болмайтын. Іс дейтінің бастан асатын.

	Әрине, егер адам отырып алып, телефонмен мылжыңдасқанды, мәселен, тауық жемдегеннен артық деп санаса, амал қайсы... Эльвис атасын түсінді, мамасы мен папасының қалада тұрғандарына оның көңілі толмайды. Мұнда адамдар қазымырланып, айқай-дабырға бейімделіп кетеді дейді ол. Мамасы мен папасы құсап туған жерін тастап кеткен адамдар өмір бойы бастары ауған жақтарға қарай қаңғыра береді.

	— Күнә деген осы, міне,— дейді атасы,— ал сенің, Эльвис бұл араға ешқандай қатысың жоқ.

	Эльвис кімге сенерін білмеді. Әдетте, атасы шындықты ғана айтады. Бірақ адамдардың қалаға көшіп келгендіктерінде тұрған қандай күнәкәрлік бар?

	— Күнә деген,— деп жауап берді атасы,— адамның өмірден өз орнын таба алмауы. Ал орнын таппағаны — бұл адамның өз көңіліне қонымды істі таппағаны деген сөз. Бұдан асқан күнә да, айып та жоқ.

	Папасы бірақ күн ұзағына жанармай колонкасында жұмыс істейді ғой.Ал мамасы үйге қарайды, кейде тіпті самса да пісіре қоятыны бар...

	Эльвистің өзінде де осы қаланың ішінде тындыратын әр қилы іс дегенің жеткілікті. Гүл отырғызу— деревнядан да гөрі қалаға қажетірек. Атасыныкі, әрине, дұрыс та шығар...

	Дачада мамасы бір айтқанын кеп қайталай бермейді. Ол жерде Эльвисті өз еркіне жіберуге де қорықпайды. Ұйқыдан тұрған бойыңда шық та, баққа қарай жүгіре жөнел, сенде ешкімнің шаруасы болмайды. Дачада мамасы Эльвиске бола қалтырамайды, түбінде бұл өзін-өзі құртады дегенді де айтпайды.

	Эльвис бірақ қалада да, дачада да — сол баяғы бір Эльвис қой. Ешбір айырмасы, өзгешелегі жоқ. Және түбінде өзін-өзі құртайын деп жүрген ол жоқ. Бұған ол сенімді. Өзі жайлы не айтылмасын, бәрібір өз жайын жақсы біледі. Ішкі дүниесінен әлдеқандай бір үн, өзіме аян нәрсені өзім ғана білемін деп қайталап тұрады. Ал басқа жұрттың білуі мүмкін емес. Мен, бұл — мен. Ал олар, бұл — олар. Бітті. Нүкте. Оның құпиясы да осының өзімен тікелей байланысты. Және әзір оның Құпиясы барда ештеңе де қорқынышты емес.

	Тек мамасы осыны түсінгенде бұған бола сонша толқып, абыржымас еді ғой. Ол да осындай бір құпияны иемденсе ғой, шіркін...

